PRODUTO,COR_PRODUTO,SORTIMENTO_COR,DESC_COR,DESC_COMPOSICAO,COLECAO,CATEGORIA_PRODUTO,SUBCATEGORIA_PRODUTO,CODIGO_TAB_PRECO,PRECO1,GRADE,TAMANHOS_DIGITADOS,TAMANHO_1,TAMANHO_2,TAMANHO_3,TAMANHO_4,TAMANHO_5,TAMANHO_6,TAMANHO_7,TAMANHO_8,TAMANHO_9,TAMANHO_10,TAMANHO_11,TAMANHO_12,ES12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,DISP
6991J,9999,True,SORTIDA,69%ALGODAO 31%POLIESTER,1901,ENTREGA,3ª ENTREGA,01,72.67,36 A 48,7,36,38,40,42,44,46,48,,,,,,0,5,0,0,0,0,0,0,0,0,0,0,0,5
6994J,9999,True,SORTIDA,81% ALGODAO 17% POLIESTER 02% ELASTANO,1901,ENTREGA,2ª ENTREGA,01,64.53,36 A 48,7,36,38,40,42,44,46,48,,,,,,0,0,1,1,1,0,1,1,0,0,0,0,0,5
6995J,9999,True,SORTIDA,81% ALGODAO 17% POLIESTER 02% ELASTANO,1901,ENTREGA,3ª ENTREGA,01,67.16,36 A 48,7,36,38,40,42,44,46,48,,,,,,0,0,4,1,0,0,0,0,0,0,0,0,0,5
6998J,9999,True,SORTIDA,81% ALGODAO 17% POLIESTER 02% ELASTANO,1901,ENTREGA,2ª ENTREGA,01,71.58,36 A 48,7,36,38,40,42,44,46,48,,,,,,0,0,1,0,1,0,0,0,0,0,0,0,0,2
7007J,9999,True,SORTIDA,97% ALGODAO 03% ELASTANO,1901,ENTREGA,3ª ENTREGA,01,76.96,36 A 48,7,36,38,40,42,44,46,48,,,,,,0,1,0,0,1,1,0,0,0,0,0,0,0,3
7014J,9999,True,SORTIDA,81% ALGODAO 17% POLIESTER 02% ELASTANO,1901,ENTREGA,3ª ENTREGA,01,72.0,36 A 48,7,36,38,40,42,44,46,48,,,,,,0,2,0,0,3,0,0,0,0,0,0,0,0,5
7617J,9999,True,SORTIDA,81% ALGODAO 17% POLIESTER 02% ELASTANO,1901,ENTREGA,3ª ENTREGA,01,74.86,36 A 48,7,36,38,40,42,44,46,48,,,,,,0,4,0,0,0,0,0,4,0,0,0,0,0,8
7621J,9999,True,SORTIDA,98% ALGODAO/ 2%ELASTANO,1901,ENTREGA,3ª ENTREGA,01,69.43,36 A 48,7,36,38,40,42,44,46,48,,,,,,0,0,0,0,5,0,0,0,0,0,0,0,0,5
BER10011601,9999,True,SORTIDA,100% POLIESTER,1901,ENTREGA,1ª ENTREGA,01,42.19,38 AO 48,6,38,40,42,44,46,48,,,,,,,0,0,0,0,0,2,5,0,0,0,0,0,0,7
BER10011605,9999,True,SORTIDA,100% POLIESTER,1901,ENTREGA,1ª ENTREGA,01,44.3,38 AO 48,6,38,40,42,44,46,48,,,,,,,0,3,0,0,0,0,0,0,0,0,0,0,0,3
